City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,lihue,21.9789,-159.3672,298.73,85,75,3.09,US,1701668313
170,enewetak,11.3474,162.3373,301.2,74,98,8.97,MH,1701668313
171,jiuquan,39.7432,98.5174,279.74,18,0,0.5,CN,1701668313
172,rawson,-43.3002,-65.1023,284.42,61,0,9.77,AR,1701668313
173,tiksi,71.6872,128.8694,241.07,99,99,3.3,RU,1701668314
174,hawaiian paradise park,19.5933,-154.9731,295.95,98,100,2.57,US,1701668231
175,boca chica,18.4537,-69.6111,294.21,100,20,2.06,DO,1701668314
176,tarawa,1.419,172.984,304.2,70,20,6.17,KI,1701668314
177,queenstown,-31.8976,26.8753,292.48,68,82,1.39,ZA,1701668314
178,banda aceh,5.5577,95.3222,301.51,73,93,1.24,ID,1701668315
179,orange,33.7,-117.7675,290.67,66,0,1.54,US,1701668179
180,mahajanga,-15.7167,46.3167,299.16,78,40,5.14,MG,1701668315
181,atafu village,-8.5421,-172.5159,302.57,76,78,7.04,TK,1701668315
182,tamanrasset,22.785,5.5228,287.1,14,0,5.14,DZ,1701668315
183,kisangani,0.5167,25.2,294.61,99,100,1.39,CD,1701668316
184,belyy yar,53.6039,91.3903,274.09,55,0,9.0,RU,1701668316
185,kasongo,-4.45,26.6667,292.79,99,100,1.06,CD,1701668316
186,nar'yan-mar,67.6713,53.087,257.63,95,96,5.29,RU,1701668316
187,natagaima,3.6206,-75.0941,296.52,76,84,0.89,CO,1701668316
188,remire-montjoly,4.9167,-52.2667,298.17,94,40,0.0,GF,1701668317
189,nadi,-17.8,177.4167,303.15,70,75,5.66,FJ,1701668317
190,lebu,-37.6167,-73.65,284.04,79,0,8.76,CL,1701668317
191,aykhal,66.0,111.5,234.89,99,64,2.49,RU,1701668317
192,vegreville,53.5001,-112.0518,272.54,80,100,1.54,CA,1701668176
193,lagos,6.5833,3.75,299.33,96,48,0.98,NG,1701667720
194,minas de marcona,-15.2119,-75.1103,286.54,88,78,4.92,PE,1701668318
195,fort st. john,56.2499,-120.8529,271.09,80,20,4.63,CA,1701668115
196,olinda,-8.0089,-34.8553,299.0,100,75,1.03,BR,1701668318
197,hualien city,23.9769,121.6044,296.97,88,84,2.39,TW,1701668318
198,alesund,62.4723,6.1549,273.01,76,75,4.63,NO,1701668319
199,hammerfest,70.6634,23.6821,272.4,86,100,5.14,NO,1701668319
200,arauquita,7.0292,-71.4281,297.29,71,80,1.71,CO,1701668319
201,ola,59.5833,151.2833,241.56,89,58,4.75,RU,1701668319
202,kavaratti,10.5669,72.642,302.48,71,64,4.97,IN,1701668319
203,touros,-5.1989,-35.4608,299.16,80,100,5.14,BR,1701668320
204,kamaishi,39.2667,141.8833,281.45,63,13,0.74,JP,1701668211
205,taunggyi,20.7833,97.0333,297.47,55,58,0.98,MM,1701668320
206,el granada,37.5027,-122.4694,287.79,89,100,0.0,US,1701668320
207,ambodifotatra,-16.9833,49.85,297.91,77,100,7.13,MG,1701668320
208,ararat,39.8317,44.7049,272.34,36,96,0.76,AM,1701668321
209,tazovsky,67.4667,78.7,242.46,94,17,4.04,RU,1701668321
210,urangan,-25.3,152.9,300.56,71,21,3.93,AU,1701668321
211,puerto deseado,-47.7503,-65.8938,285.27,47,88,3.95,AR,1701668321
212,tuma,55.148,40.5537,264.73,93,99,4.86,RU,1701668321
213,labytnangi,66.6572,66.4183,240.55,98,87,1.04,RU,1701668322
214,utrik,11.2278,169.8474,300.52,73,99,9.38,MH,1701668322
215,omdurman,15.6445,32.4777,299.87,30,4,5.59,SD,1701668322
216,wiwili,13.6268,-85.8254,294.88,97,50,1.83,NI,1701668322
217,cidade velha,14.9167,-23.6167,296.41,83,20,5.66,CV,1701668322
218,warm mineral springs,27.0598,-82.2601,297.03,99,43,2.84,US,1701668323
219,badger,64.8,-147.5333,252.79,80,40,0.0,US,1701668323
220,fortuna,40.5982,-124.1573,288.52,91,100,6.69,US,1701668323
221,ekibastuz,51.6667,75.3667,264.53,61,100,7.6,KZ,1701668323
222,almunecar,36.7339,-3.6907,287.02,60,97,3.0,ES,1701668323
223,nobres,-14.7203,-56.3275,296.5,86,100,1.51,BR,1701668323
224,qaqortoq,60.7167,-46.0333,270.34,72,100,4.33,GL,1701668324
225,kiunga,-6.1219,141.2906,299.24,84,97,1.08,PG,1701668324
226,gadzhiyevo,69.2551,33.3362,266.43,96,100,2.21,RU,1701668324
227,roja,57.5,22.8167,271.31,77,100,4.15,LV,1701668324
228,belgrano,-34.5627,-58.4583,291.06,65,75,6.17,AR,1701668325
229,pacific grove,36.6177,-121.9166,287.4,85,0,0.45,US,1701668325
230,drayton valley,53.2168,-114.9854,267.45,79,100,3.18,CA,1701668325
231,kailua-kona,19.6406,-155.9956,299.13,86,100,1.7,US,1701668278
232,kapa'a,22.0752,-159.319,299.14,85,75,3.09,US,1701668325
233,shortandy,51.7006,70.9994,262.44,82,98,4.18,KZ,1701668326
234,daru,-9.0763,143.2092,301.37,79,100,4.68,PG,1701668326
235,brookings,44.3114,-96.7984,271.03,90,100,2.57,US,1701668209
236,avdiyivka,48.1399,37.7426,272.38,71,100,4.97,UA,1701668326
